"usage","meaning"
"---", "new slide"
"--", "incremental"
"# ## ###", "headings"
"<sup>*</sup> \.footnote[[*]]", "footnotes"
"knitr::kable(format = 'html')", "tables"
"DT::datatable()", "interactive tables"
"???", "instert notes (press p to display)"
"background-image: url()", "backgroun image"
"class: inverse, center, middle", "alignment"
"layout:true layout: false", "for a series of slides"
"background-position: 50% 50%", "background position"
"background-size: cover", "background size"
"\.pull-left[]", "columns"
"\.left-column[ ]", "side bar"
"\.center[]", "center"
"code #<<", "highlight code lines"
"names(xaringan:::list_css())", "show themes"
"h", "show help"
"?xaringan::moon_reader", "show available options"
